epochs,order,schedule,seed,blimp
ep10,antidevelopmental,competence,0,51.10
ep10,antidevelopmental,competence,1,52.25
ep10,antidevelopmental,competence,2,51.67
ep5,antidevelopmental,competence,0,51.71
ep5,antidevelopmental,competence,1,51.59
ep5,antidevelopmental,competence,2,53.19
ep10,antidevelopmental,staged,0,52.19
ep10,antidevelopmental,staged,1,50.17
ep10,antidevelopmental,staged,2,52.22
ep5,antidevelopmental,staged,0,53.10
ep5,antidevelopmental,staged,1,53.55
ep5,antidevelopmental,staged,2,56.59
ep10,developmental,competence,0,52.88
ep10,developmental,competence,1,50.98
ep10,developmental,competence,2,52.61
ep5,developmental,competence,0,51.69
ep5,developmental,competence,1,53.30
ep5,developmental,competence,2,54.99
ep10,developmental,staged,0,51.16
ep10,developmental,staged,1,52.44
ep10,developmental,staged,2,51.83
ep5,developmental,staged,0,54.43
ep5,developmental,staged,1,53.40
ep5,developmental,staged,2,53.96
ep10,gemmappl,staged,0,54.20
ep10,gemmappl,staged,1,54.13
ep10,gemmappl,staged,2,53.76
ep10,perplexity,competence,0,54.55
ep10,perplexity,competence,1,53.44
ep10,perplexity,competence,2,52.47
ep5,perplexity,competence,0,55.85
ep5,perplexity,competence,1,54.52
ep5,perplexity,competence,2,56.45
ep10,perplexity,staged,0,53.29
ep10,perplexity,staged,1,55.03
ep10,perplexity,staged,2,57.38
ep5,perplexity,staged,0,52.77
ep5,perplexity,staged,1,54.87
ep5,perplexity,staged,2,56.78
ep10,qwenppl,staged,0,51.76
ep10,qwenppl,staged,1,53.88
ep10,qwenppl,staged,2,52.25
ep10,random,staged,0,53.79
ep10,random,staged,1,53.08
ep10,random,staged,2,53.23
ep5,random,staged,0,52.40
ep5,random,staged,1,53.02
ep5,random,staged,2,54.15
ep10,randomblock,staged,0,52.80
ep10,randomblock,staged,1,51.64
ep10,randomblock,staged,2,53.80
ep10,readability,competence,0,51.78
ep10,readability,competence,1,52.84
ep10,readability,competence,2,52.86
ep5,readability,competence,0,53.96
ep5,readability,competence,1,51.04
ep5,readability,competence,2,53.37
ep10,readability,staged,0,50.93
ep10,readability,staged,1,54.23
ep10,readability,staged,2,53.13
ep5,readability,staged,0,53.30
ep5,readability,staged,1,53.71
ep5,readability,staged,2,52.35
