order,schedule,seed,step,task,accuracy
antidevelopmental,competence,0,0,blimp_fast,49.89
antidevelopmental,competence,0,0,entity_tracking_fast,42.51
antidevelopmental,competence,0,0,ewok_fast,49.36
antidevelopmental,competence,0,0,supplement_fast,49.2
antidevelopmental,competence,0,250,blimp_fast,55.79
antidevelopmental,competence,0,250,entity_tracking_fast,42.21
antidevelopmental,competence,0,250,ewok_fast,51.27
antidevelopmental,competence,0,250,supplement_fast,50.0
antidevelopmental,competence,0,500,blimp_fast,53.67
antidevelopmental,competence,0,500,entity_tracking_fast,43.65
antidevelopmental,competence,0,500,ewok_fast,49.55
antidevelopmental,competence,0,500,supplement_fast,43.6
antidevelopmental,competence,0,750,blimp_fast,53.25
antidevelopmental,competence,0,750,entity_tracking_fast,42.36
antidevelopmental,competence,0,750,ewok_fast,49.73
antidevelopmental,competence,0,750,supplement_fast,46.4
antidevelopmental,competence,0,1000,blimp_fast,52.03
antidevelopmental,competence,0,1000,entity_tracking_fast,44.12
antidevelopmental,competence,0,1000,ewok_fast,49.36
antidevelopmental,competence,0,1000,supplement_fast,46.0
antidevelopmental,competence,0,1250,blimp_fast,53.0
antidevelopmental,competence,0,1250,entity_tracking_fast,42.88
antidevelopmental,competence,0,1250,ewok_fast,49.45
antidevelopmental,competence,0,1250,supplement_fast,45.6
antidevelopmental,competence,0,1500,blimp_fast,52.8
antidevelopmental,competence,0,1500,entity_tracking_fast,43.5
antidevelopmental,competence,0,1500,ewok_fast,49.64
antidevelopmental,competence,0,1500,supplement_fast,48.4
antidevelopmental,competence,0,1750,blimp_fast,52.81
antidevelopmental,competence,0,1750,entity_tracking_fast,42.48
antidevelopmental,competence,0,1750,ewok_fast,51.64
antidevelopmental,competence,0,1750,supplement_fast,47.6
antidevelopmental,competence,0,2000,blimp_fast,52.91
antidevelopmental,competence,0,2000,entity_tracking_fast,30.17
antidevelopmental,competence,0,2000,ewok_fast,50.55
antidevelopmental,competence,0,2000,supplement_fast,48.4
antidevelopmental,competence,0,2250,blimp_fast,52.22
antidevelopmental,competence,0,2250,entity_tracking_fast,36.5
antidevelopmental,competence,0,2250,ewok_fast,50.0
antidevelopmental,competence,0,2250,supplement_fast,44.8
antidevelopmental,competence,0,2500,blimp_fast,51.3
antidevelopmental,competence,0,2500,entity_tracking_fast,38.96
antidevelopmental,competence,0,2500,ewok_fast,51.27
antidevelopmental,competence,0,2500,supplement_fast,46.4
antidevelopmental,competence,0,2750,blimp_fast,51.55
antidevelopmental,competence,0,2750,entity_tracking_fast,41.67
antidevelopmental,competence,0,2750,ewok_fast,49.73
antidevelopmental,competence,0,2750,supplement_fast,46.0
antidevelopmental,competence,0,3000,blimp_fast,51.46
antidevelopmental,competence,0,3000,entity_tracking_fast,38.57
antidevelopmental,competence,0,3000,ewok_fast,49.73
antidevelopmental,competence,0,3000,supplement_fast,46.4
antidevelopmental,competence,1,0,blimp_fast,50.07
antidevelopmental,competence,1,0,entity_tracking_fast,42.87
antidevelopmental,competence,1,0,ewok_fast,50.91
antidevelopmental,competence,1,0,supplement_fast,47.2
antidevelopmental,competence,1,250,blimp_fast,54.77
antidevelopmental,competence,1,250,entity_tracking_fast,27.28
antidevelopmental,competence,1,250,ewok_fast,50.18
antidevelopmental,competence,1,250,supplement_fast,49.2
antidevelopmental,competence,1,500,blimp_fast,53.39
antidevelopmental,competence,1,500,entity_tracking_fast,38.78
antidevelopmental,competence,1,500,ewok_fast,51.0
antidevelopmental,competence,1,500,supplement_fast,48.8
antidevelopmental,competence,1,750,blimp_fast,54.85
antidevelopmental,competence,1,750,entity_tracking_fast,21.79
antidevelopmental,competence,1,750,ewok_fast,51.27
antidevelopmental,competence,1,750,supplement_fast,44.4
antidevelopmental,competence,1,1000,blimp_fast,52.48
antidevelopmental,competence,1,1000,entity_tracking_fast,37.43
antidevelopmental,competence,1,1000,ewok_fast,50.55
antidevelopmental,competence,1,1000,supplement_fast,44.4
antidevelopmental,competence,1,1250,blimp_fast,52.78
antidevelopmental,competence,1,1250,entity_tracking_fast,42.65
antidevelopmental,competence,1,1250,ewok_fast,47.55
antidevelopmental,competence,1,1250,supplement_fast,45.6
antidevelopmental,competence,1,1500,blimp_fast,52.84
antidevelopmental,competence,1,1500,entity_tracking_fast,26.65
antidevelopmental,competence,1,1500,ewok_fast,49.64
antidevelopmental,competence,1,1500,supplement_fast,50.8
antidevelopmental,competence,1,1750,blimp_fast,53.13
antidevelopmental,competence,1,1750,entity_tracking_fast,39.05
antidevelopmental,competence,1,1750,ewok_fast,49.18
antidevelopmental,competence,1,1750,supplement_fast,50.4
antidevelopmental,competence,1,2000,blimp_fast,53.3
antidevelopmental,competence,1,2000,entity_tracking_fast,21.97
antidevelopmental,competence,1,2000,ewok_fast,47.73
antidevelopmental,competence,1,2000,supplement_fast,44.8
antidevelopmental,competence,1,2250,blimp_fast,52.66
antidevelopmental,competence,1,2250,entity_tracking_fast,39.86
antidevelopmental,competence,1,2250,ewok_fast,48.73
antidevelopmental,competence,1,2250,supplement_fast,44.0
antidevelopmental,competence,1,2500,blimp_fast,50.76
antidevelopmental,competence,1,2500,entity_tracking_fast,16.35
antidevelopmental,competence,1,2500,ewok_fast,48.45
antidevelopmental,competence,1,2500,supplement_fast,43.6
antidevelopmental,competence,1,2750,blimp_fast,50.69
antidevelopmental,competence,1,2750,entity_tracking_fast,20.34
antidevelopmental,competence,1,2750,ewok_fast,46.64
antidevelopmental,competence,1,2750,supplement_fast,44.4
antidevelopmental,competence,1,3000,blimp_fast,51.34
antidevelopmental,competence,1,3000,entity_tracking_fast,28.76
antidevelopmental,competence,1,3000,ewok_fast,48.18
antidevelopmental,competence,1,3000,supplement_fast,42.0
antidevelopmental,competence,2,0,blimp_fast,50.71
antidevelopmental,competence,2,0,entity_tracking_fast,42.15
antidevelopmental,competence,2,0,ewok_fast,51.91
antidevelopmental,competence,2,0,supplement_fast,49.2
antidevelopmental,competence,2,250,blimp_fast,55.22
antidevelopmental,competence,2,250,entity_tracking_fast,38.28
antidevelopmental,competence,2,250,ewok_fast,47.18
antidevelopmental,competence,2,250,supplement_fast,46.8
antidevelopmental,competence,2,500,blimp_fast,52.86
antidevelopmental,competence,2,500,entity_tracking_fast,20.02
antidevelopmental,competence,2,500,ewok_fast,52.09
antidevelopmental,competence,2,500,supplement_fast,52.4
antidevelopmental,competence,2,750,blimp_fast,55.43
antidevelopmental,competence,2,750,entity_tracking_fast,42.6
antidevelopmental,competence,2,750,ewok_fast,48.73
antidevelopmental,competence,2,750,supplement_fast,49.2
antidevelopmental,competence,2,1000,blimp_fast,54.76
antidevelopmental,competence,2,1000,entity_tracking_fast,29.82
antidevelopmental,competence,2,1000,ewok_fast,50.0
antidevelopmental,competence,2,1000,supplement_fast,52.4
antidevelopmental,competence,2,1250,blimp_fast,55.0
antidevelopmental,competence,2,1250,entity_tracking_fast,39.76
antidevelopmental,competence,2,1250,ewok_fast,49.55
antidevelopmental,competence,2,1250,supplement_fast,43.6
antidevelopmental,competence,2,1500,blimp_fast,54.4
antidevelopmental,competence,2,1500,entity_tracking_fast,32.67
antidevelopmental,competence,2,1500,ewok_fast,49.36
antidevelopmental,competence,2,1500,supplement_fast,46.8
antidevelopmental,competence,2,1750,blimp_fast,53.05
antidevelopmental,competence,2,1750,entity_tracking_fast,13.7
antidevelopmental,competence,2,1750,ewok_fast,50.55
antidevelopmental,competence,2,1750,supplement_fast,46.8
antidevelopmental,competence,2,2000,blimp_fast,55.31
antidevelopmental,competence,2,2000,entity_tracking_fast,31.16
antidevelopmental,competence,2,2000,ewok_fast,52.0
antidevelopmental,competence,2,2000,supplement_fast,44.0
antidevelopmental,competence,2,2250,blimp_fast,53.53
antidevelopmental,competence,2,2250,entity_tracking_fast,38.07
antidevelopmental,competence,2,2250,ewok_fast,50.73
antidevelopmental,competence,2,2250,supplement_fast,46.0
antidevelopmental,competence,2,2500,blimp_fast,53.52
antidevelopmental,competence,2,2500,entity_tracking_fast,41.02
antidevelopmental,competence,2,2500,ewok_fast,51.27
